id,작성일,제목,가족형태,공간,평수구간,스타일,세부공사,분야,작업,예산,조회,스크랩,좋아요,댓글,url
0,2022-10-07,서재형 거실부터 베란다 아뜰리에까지! 센스만점 오베네홈,아기가 있는 집,아파트,35,내추럴,0,리모델링,전문가,0,10513,136,57,15,https://ohou.se/projects/126917/detail?affect_type=ProjectSelfIndex&affect_id=0
1,2022-10-07,"구축 2Bay 리모델링의 바이블, 모던한 32평 신혼집",신혼부부,아파트,35,모던,"주방리모델링, 조명시공, 중문, 가벽&파티션, 슬라이딩도어",리모델링,전문가,4200,5610,75,26,12,https://ohou.se/projects/126600/detail?affect_type=ProjectSelfIndex&affect_id=1
2,2022-10-07,취향을 읽고 쓰는 비밀 서재처럼- 푸릇푸릇 3평 방,부모님과 함께 사는 집,기타,5,내추럴,0,홈스타일링,셀프•DIY,0,4214,201,60,15,https://ohou.se/projects/123056/detail?affect_type=ProjectSelfIndex&affect_id=2
3,2022-10-07,손 뻗으면 닿을 듯한 녹음🌳 싱그러운 저층집 리모델링,신혼부부,아파트,35,모던,"주방리모델링, 조명시공, 중문",리모델링,전문가,5500,37375,643,169,122,https://ohou.se/projects/116945/detail?affect_type=ProjectSelfIndex&affect_id=3
4,2022-10-07,아늑하고 편안한 무드로- 빈티지 한 스푼 더한 내추럴홈,신혼부부,아파트,55,내추럴,"주방리모델링, 중문",리모델링,전문가,9500,3760,73,13,9,https://ohou.se/projects/127436/detail?affect_type=ProjectSelfIndex&affect_id=4
5,2022-10-07,게으른 집순이가 폭신한 하루를 보내는 복층 오피스텔,싱글라이프,원룸&오피스텔,15,모던,0,홈스타일링,셀프•DIY,0,8658,289,79,18,https://ohou.se/projects/125983/detail?affect_type=ProjectSelfIndex&affect_id=5
6,2022-10-07,사계절을 품은 액자창이 포인트! 따뜻한 무드의 신혼집 ,신혼부부,아파트,35,내추럴,0,홈스타일링,셀프•DIY,0,7017,74,30,6,https://ohou.se/projects/126368/detail?affect_type=ProjectSelfIndex&affect_id=6
7,2022-10-07,알록달록은 꼭꼭 숨겨라! 아기와 함께 하는 베이지하우스,아기가 있는 집,아파트,35,모던,조명시공,홈스타일링,셀프•DIY,500,5620,100,29,5,https://ohou.se/projects/117185/detail?affect_type=ProjectSelfIndex&affect_id=7
8,2022-10-07,헌집줄게 새집다오🏘 살던 집을 리모델링 해 새집처럼!,아기가 있는 집,아파트,25,모던,0,리모델링,전문가,7000,54268,1124,368,116,https://ohou.se/projects/110355/detail?affect_type=ProjectSelfIndex&affect_id=8
9,2022-10-07,자취를 하고 나서 퇴근 후의 삶이 행복해졌어요💗,싱글라이프,원룸&오피스텔,5,내추럴,0,홈스타일링,셀프•DIY,100,72183,3525,725,46,https://ohou.se/projects/100919/detail?affect_type=ProjectSelfIndex&affect_id=9
